id;titulo;descripcion;modo_distribucion;etapa_editorial;fecha_creacion;fecha_creacion_sys;fecha_publicacion;fecha_publicacion_sys;numero_edicion;version_str;palabra_clave;resumen_contenido;clave;estatus;portada_url
1;Kansas Kazakhstan payment;ADP SMS;GRATUITO;OTRO;2020-03-05;2020-03-05;2020-03-05;2020-03-05;supply-chains mobile;Berkshire hack;generate;application Illinois Hill;Gorgeous Granite Pants;e-business leading edge Car;infrastructures
2;withdrawal Incredible Cotton Computer;Pakistan Rupee;PAGO;OTRO;2020-03-05;2020-03-05;2020-03-05;2020-03-05;payment;Branding Aruban Guilder Industrial;Norwegian Krone;matrices Ethiopia;capacitor;incentivize;Home Loan Account Research
3;info-mediaries cross-media;Soft fresh-thinking;PAGO;OTRO;2020-03-05;2020-03-05;2020-03-05;2020-03-05;SDD magnetic;American Samoa Analyst;wireless Incredible Metal Hat;Electronics initiatives Frozen;Home Human back-end;systematic;Legacy Mozambique e-services
4;withdrawal Baby Gorgeous Fresh Pizza;wireless;LIBRE;OTRO;2020-03-05;2020-03-05;2020-03-05;2020-03-05;overriding;Usability monitor e-enable;Knoll Lakes;Tasty Metal Mouse wireless withdrawal;Incredible Frozen Chicken 24/7;ivory connecting circuit;Business-focused
5;green;Guarani;LIBRE;OTRO;2020-03-05;2020-03-05;2020-03-05;2020-03-05;sensor;Sleek Rubber Bike;innovative Cape Views;digital plug-and-play;New Mexico;Engineer;Tasty pink
6;Tennessee;HTTP AGP;GRATUITO;PUBLICADO;2020-03-05;2020-03-04;2020-03-05;2020-03-05;Principal;Kroon service-desk;Operations;Quality-focused;Moldovan Leu International Industrial;withdrawal;Ergonomic mobile
7;Rustic Plastic Chair Plastic;productivity;PAGO;EDICION;2020-03-04;2020-03-05;2020-03-05;2020-03-05;Gourde US Dollar payment;Garden;static;Bedfordshire payment Coordinator;Granite intuitive visionary;Chief;24/365 Checking Account open-source
8;Cote d'Ivoire;white COM;LIBRE;EDICION;2020-03-05;2020-03-04;2020-03-05;2020-03-05;Mountains;orchid Granite Licensed Fresh Shirt;gold Spur;Grove;sky blue monitor;program;Gorgeous Concrete Towels Cloned back-end
9;initiatives Total Washington;Rwanda Franc distributed;PAGO;PUBLICADO;2020-03-05;2020-03-05;2020-03-04;2020-03-05;Vermont Savings Account;SSL;quantifying Pants;Chief;SAS silver;backing up Namibia;Group Fantastic Wooden Fish
10;Human CSS;Delaware;GRATUITO;OTRO;2020-03-05;2020-03-04;2020-03-05;2020-03-05;parsing white Handmade Metal Chips;Pataca Direct Buckinghamshire;Plastic Tasty program;digital;Fork embrace;bypass Tasty Handmade;applications Mauritius
